specimen_id,age_in_days,age_in_weeks,allelic_composition,biological_sample_group,colony_id,datasource_name,date_of_birth,date_of_experiment,developmental_stage_acc,developmental_stage_name,experiment_id,experiment_source_id,external_sample_id,genetic_background,life_stage_acc,life_stage_name,litter_id,observation_type,parameter_stable_id,phenotyping_center,pipeline_name,pipeline_stable_id,procedure_group,procedure_name,procedure_stable_id,production_center,project_name,sex,specimen_id,strain_accession_id,strain_name,weight,weight_date,weight_days_old,weight_parameter_stable_id,zygosity,id,_version_,metadata_Anesthetic administration route,metadata_Anesthetic agent 1,metadata_Anesthetic agent 1 dosage,metadata_Anesthetic agent 2,metadata_Anesthetic agent 2 dosage,metadata_Equipment ID,metadata_Equipment manufacturer,metadata_Equipment model,metadata_Experimenter ID,metadata_Number averages,metadata_Recording Environment,metadata_Repetition Rate,metadata_Software,metadata_Time of injection,metadata_Tone Pip Duration,metadata_Tone Pip rise/fall,30kHz-evoked ABR Threshold,Body weight,6kHz-evoked ABR Threshold,24kHz-evoked ABR Threshold,12kHz-evoked ABR Threshold,18kHz-evoked ABR Threshold,allele_accession_id,allele_symbol,gene_accession_id,gene_symbol,metadata_Date equipment last calibrated,metadata_Extension of stimulus levels,metadata_Range of stimulus levels used - 12kHz,metadata_Range of stimulus levels used - 18kHz,metadata_Range of stimulus levels used - 24kHz,metadata_Range of stimulus levels used - 30kHz,metadata_Range of stimulus levels used - 6kHz,metadata_Range of stimulus levels used - Click,metadata_Range of test stimuli used,metadata_Stimulus level step size,Click-evoked ABR threshold,metadata_ProductionCenter,procedure_sequence_id,metadata_Date of Test,category
d8167941321d75e78c4263f27dba73d3,95,13,Adgrb1<tm2a(EUCOMM)Wtsi>/Adgrb1<tm2a(EUCOMM)Wtsi>,experimental,MEMT,IMPC,2013-11-01T00:00:00Z,2014-02-04T00:00:00Z,EFO:0002948,postnatal,bcb0974c471bd77cd62282df1544068d,EXP442666,1651676,involves: C57BL/6N,IMPCLS:0005,Early adult,289376,unidimensional,IMPC_ABR_001_001,WTSI,MGP Select Pipeline,MGP_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_001,WTSI,MGP,female,d8167941321d75e78c4263f27dba73d3,MGI:2159965,C57BL/6N,,,,,homozygote,c080ecd1-b9fd-44d2-8d02-d9fa90ed711e,1.81687E+18,Intraperitoneal,Ketamine,0.11,Xylazine,0.011,Sanger_RSF_1,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",556,256,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Sanger bespoke averager software,9:08:00,5,1,95,23.9,90,75,60,50,MGI:5006776,Adgrb1<tm2a(EUCOMM)Wtsi>,MGI:1933736,Adgrb1,,,,,,,,,,,45,,,2014-02-04T09:08:00Z,
5290b699a610eedcb56ab00c01580c42,99,14,Adgrb1<tm2a(EUCOMM)Wtsi>/Adgrb1<tm2a(EUCOMM)Wtsi>,experimental,MEMT,IMPC,2013-12-15T00:00:00Z,2014-03-24T00:00:00Z,EFO:0002948,postnatal,9fa6724d12e85ad7d5dd9d091958ad48,EXP459841,1688477,involves: C57BL/6N,IMPCLS:0005,Early adult,296174,unidimensional,IMPC_ABR_002_001,WTSI,MGP Select Pipeline,MGP_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_001,WTSI,MGP,male,5290b699a610eedcb56ab00c01580c42,MGI:2159965,C57BL/6N,31.9,2014-03-24T00:00:00Z,99,IMPC_ABR_001_001,homozygote,5d9c9be3-5630-41c6-8f48-dfd18c878a62,1.81687E+18,Intraperitoneal,Ketamine,0.11,Xylazine,0.011,Sanger_RSF_1,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",556,256,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Sanger bespoke averager software,11:39:00,5,1,95,31.9,60,90,45,55,MGI:5006776,Adgrb1<tm2a(EUCOMM)Wtsi>,MGI:1933736,Adgrb1,,,,,,,,,,,35,,,2014-03-24T11:39:00Z,
1536de43d07bfa30e88780425d2f0e8b,97,13,Adgrb1<tm2a(EUCOMM)Wtsi>/Adgrb1<+>,experimental,MEMT,IMPC,2013-10-22T00:00:00Z,2014-01-27T00:00:00Z,EFO:0002948,postnatal,339868d55a75ae06d8cccd0f7640d0ae,EXP440706,1640268,involves: C57BL/6N,IMPCLS:0005,Early adult,287926,unidimensional,IMPC_ABR_012_001,WTSI,MGP Select Pipeline,MGP_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_001,WTSI,MGP,female,1536de43d07bfa30e88780425d2f0e8b,MGI:2159965,C57BL/6N,24.7,2014-01-27T00:00:00Z,97,IMPC_ABR_001_001,heterozygote,f70f8437-0fd8-436f-9bbd-1b2c55a01115,1.81688E+18,Intraperitoneal,Ketamine,0.11,Xylazine,0.011,Sanger_RSF_1,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",436,256,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Sanger bespoke averager software,12:11:00,5,1,45,24.7,30,35,20,30,MGI:5006776,Adgrb1<tm2a(EUCOMM)Wtsi>,MGI:1933736,Adgrb1,,,,,,,,,,,30,,,2014-01-27T12:11:00Z,
00b93e877f903f9e4fa5fb60ec2f7c7d,97,13,Adgrb1<tm2a(EUCOMM)Wtsi>/Adgrb1<+>,experimental,MEMT,IMPC,2013-10-22T00:00:00Z,2014-01-27T00:00:00Z,EFO:0002948,postnatal,b660099fa5051411d0ba60d431428094,EXP440671,1640265,involves: C57BL/6N,IMPCLS:0005,Early adult,287926,unidimensional,IMPC_ABR_010_001,WTSI,MGP Select Pipeline,MGP_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_001,WTSI,MGP,male,00b93e877f903f9e4fa5fb60ec2f7c7d,MGI:2159965,C57BL/6N,29.8,2014-01-27T00:00:00Z,97,IMPC_DXA_001_001,heterozygote,da6c614c-ca71-4b5b-95e2-008a6db71994,1.81688E+18,Intraperitoneal,Ketamine,0.11,Xylazine,0.011,Sanger_RSF_1,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",436,256,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Sanger bespoke averager software,11:43:00,5,1,45,29.8,30,35,15,20,MGI:5006776,Adgrb1<tm2a(EUCOMM)Wtsi>,MGI:1933736,Adgrb1,,,,,,,,,,,25,,,2014-01-27T11:43:00Z,
5140b61a5109b86e19b11f144e94fd32,96,13,Adgrb1<tm2a(EUCOMM)Wtsi>/Adgrb1<tm2a(EUCOMM)Wtsi>,experimental,MEMT,IMPC,2012-11-21T00:00:00Z,2013-02-25T00:00:00Z,EFO:0002948,postnatal,a8cdb51ce49310bb4e02033e0063d426,EXP361797,1326688,involves: C57BL/6N,IMPCLS:0005,Early adult,234219,unidimensional,IMPC_ABR_010_001,WTSI,MGP Select Pipeline,MGP_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_001,WTSI,MGP,male,5140b61a5109b86e19b11f144e94fd32,MGI:2159965,C57BL/6N,33,2013-02-25T00:00:00Z,96,IMPC_BWT_001_001,homozygote,87383bbb-2366-4855-8dba-48956d28c559,1.81687E+18,Intraperitoneal,Ketamine,0.11,Xylazine,0.011,Sanger_RSF_1,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",556,256,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Sanger bespoke averager software,11:06:00,5,1,55,33,45,50,45,45,MGI:5006776,Adgrb1<tm2a(EUCOMM)Wtsi>,MGI:1933736,Adgrb1,,,,,,,,,,,25,,,2013-02-25T11:06:00Z,
38a539187d5c5a55fc639d1199749a86,98,14,Adgrb1<tm2a(EUCOMM)Wtsi>/Adgrb1<tm2a(EUCOMM)Wtsi>,experimental,MEMT,IMPC,2013-10-21T00:00:00Z,2014-01-27T00:00:00Z,EFO:0002948,postnatal,192752cd47e376de9f1dbbc850908264,EXP440593,1640258,involves: C57BL/6N,IMPCLS:0005,Early adult,288112,unidimensional,IMPC_ABR_010_001,WTSI,MGP Select Pipeline,MGP_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_001,WTSI,MGP,male,38a539187d5c5a55fc639d1199749a86,MGI:2159965,C57BL/6N,24.3,2014-01-27T00:00:00Z,98,IMPC_ABR_001_001,homozygote,f3a32847-a883-45fb-99d1-a8e8e6fc6369,1.81688E+18,Intraperitoneal,Ketamine,0.11,Xylazine,0.011,Sanger_RSF_1,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",436,256,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Sanger bespoke averager software,10:54:00,5,1,95,24.3,70,95,80,80,MGI:5006776,Adgrb1<tm2a(EUCOMM)Wtsi>,MGI:1933736,Adgrb1,,,,,,,,,,,40,,,2014-01-27T10:54:00Z,
7c465b24e361c3d001d7af07ea41ef13,96,13,Adgrb1<tm2a(EUCOMM)Wtsi>/Adgrb1<tm2a(EUCOMM)Wtsi>,experimental,MEMT,IMPC,2012-11-21T00:00:00Z,2013-02-25T00:00:00Z,EFO:0002948,postnatal,9a547336331fa254aed10dc22b1f1062,EXP361808,1326689,involves: C57BL/6N,IMPCLS:0005,Early adult,234219,unidimensional,IMPC_ABR_006_001,WTSI,MGP Select Pipeline,MGP_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_001,WTSI,MGP,male,7c465b24e361c3d001d7af07ea41ef13,MGI:2159965,C57BL/6N,33,2013-02-25T00:00:00Z,96,IMPC_BWT_001_001,homozygote,2d60dd46-9f0b-4818-a428-bb2d321ec2b2,1.81688E+18,Intraperitoneal,Ketamine,0.11,Xylazine,0.011,Sanger_RSF_1,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",556,256,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Sanger bespoke averager software,10:46:00,5,1,90,33,50,60,35,60,MGI:5006776,Adgrb1<tm2a(EUCOMM)Wtsi>,MGI:1933736,Adgrb1,,,,,,,,,,,35,,,2013-02-25T10:46:00Z,
29b833034dcbfd32232ceb6b66e75616,97,13,Adgrb1<tm2a(EUCOMM)Wtsi>/Adgrb1<tm2a(EUCOMM)Wtsi>,experimental,MEMT,IMPC,2013-09-04T00:00:00Z,2013-12-10T00:00:00Z,EFO:0002948,postnatal,b92e5786f507a4844db8519e6756a0df,EXP428506,1595610,involves: C57BL/6N,IMPCLS:0005,Early adult,280451,unidimensional,IMPC_ABR_002_001,WTSI,MGP Select Pipeline,MGP_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_001,WTSI,MGP,male,29b833034dcbfd32232ceb6b66e75616,MGI:2159965,C57BL/6N,29.7,2013-12-10T00:00:00Z,97,IMPC_DXA_001_001,homozygote,8d815afc-fc0d-4594-8d1d-addd420b7ced,1.81688E+18,Intraperitoneal,Ketamine,0.11,Xylazine,0.011,Sanger_RSF_1,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",677,256,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Sanger bespoke averager software,8:52:00,5,1,95,29.7,70,90,70,65,MGI:5006776,Adgrb1<tm2a(EUCOMM)Wtsi>,MGI:1933736,Adgrb1,,,,,,,,,,,85,,,2013-12-10T08:52:00Z,
dafe6b5fe73f40df67cc871d7300806c,97,13,Adgrb1<tm2a(EUCOMM)Wtsi>/Adgrb1<tm2a(EUCOMM)Wtsi>,experimental,MEMT,IMPC,2013-10-22T00:00:00Z,2014-01-27T00:00:00Z,EFO:0002948,postnatal,19d4252b3931c610a79f85baa193784a,EXP440670,1640264,involves: C57BL/6N,IMPCLS:0005,Early adult,287926,unidimensional,IMPC_ABR_008_001,WTSI,MGP Select Pipeline,MGP_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_001,WTSI,MGP,male,dafe6b5fe73f40df67cc871d7300806c,MGI:2159965,C57BL/6N,26.8,2014-01-27T00:00:00Z,97,IMPC_BWT_001_001,homozygote,bb372286-d086-4702-ad39-0676f20bbf71,1.81687E+18,Intraperitoneal,Ketamine,0.11,Xylazine,0.011,Sanger_RSF_1,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",436,256,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Sanger bespoke averager software,11:27:00,5,1,95,26.8,60,95,50,50,MGI:5006776,Adgrb1<tm2a(EUCOMM)Wtsi>,MGI:1933736,Adgrb1,,,,,,,,,,,35,,,2014-01-27T11:27:00Z,
f40e0f65e130e6f576ca8691218bdd71,97,13,Adgrb1<tm2a(EUCOMM)Wtsi>/Adgrb1<+>,experimental,MEMT,IMPC,2013-10-22T00:00:00Z,2014-01-27T00:00:00Z,EFO:0002948,postnatal,2065e8e708cd5f50a5e758be46cb9b69,EXP440652,1640262,involves: C57BL/6N,IMPCLS:0005,Early adult,287926,unidimensional,IMPC_ABR_004_001,WTSI,MGP Select Pipeline,MGP_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_001,WTSI,MGP,male,f40e0f65e130e6f576ca8691218bdd71,MGI:2159965,C57BL/6N,29.6,2014-01-27T00:00:00Z,97,IMPC_BWT_001_001,heterozygote,58665038-e200-439e-bd13-3e549227aea3,1.81688E+18,Intraperitoneal,Ketamine,0.11,Xylazine,0.011,Sanger_RSF_1,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",436,256,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Sanger bespoke averager software,11:09:00,5,1,45,29.6,30,35,30,25,MGI:5006776,Adgrb1<tm2a(EUCOMM)Wtsi>,MGI:1933736,Adgrb1,,,,,,,,,,,30,,,2014-01-27T11:09:00Z,
