gene_symbol,total_groups,male_analyzable,female_analyzable,both_sex_analyzable,max_male_mice,max_female_mice,max_male_complete_data,max_female_complete_data,max_male_controls,max_female_controls
Tafa2,1,False,False,False,2,2,2,2,169,177
Cib3,1,False,False,False,2,2,2,2,169,177
Pard3b,1,True,False,False,4,4,4,2,475,485
Sgsm1,1,False,False,False,2,2,2,2,454,452
Rfxank,1,True,False,False,4,4,4,2,475,485
Ces2c,1,True,True,True,4,4,4,4,1264,1277
C2cd4c,1,True,True,True,4,4,4,4,959,950
Mcu,1,False,False,False,2,2,2,2,434,426
Dpm3,1,False,False,False,2,2,2,2,285,289
Kntc1,2,True,True,True,4,3,4,3,1264,1277
Fam222a,1,True,True,True,4,4,4,4,1264,1277
Hnrnpd,1,False,True,False,2,3,2,3,83,64
Pdia6,1,True,False,False,4,4,4,1,475,485
Mir203,1,True,True,True,3,3,3,3,83,64
Ifnk,1,True,True,True,4,4,4,4,1264,1277
Ctla2b,1,False,False,False,2,2,2,2,293,295
Serinc3,1,True,False,False,4,2,4,2,454,452
Chchd10,1,False,False,False,2,2,2,2,285,289
Fadd,1,False,False,False,2,2,2,2,293,295
Snapc1,1,False,False,False,2,2,1,2,169,177
Vstm2l,1,False,False,False,2,2,2,2,293,295
Unc13c,1,False,False,False,2,2,2,2,169,177
Rnf222,1,False,False,False,1,2,1,2,1264,1277
Cdc7,1,False,False,False,2,2,2,2,293,295
Ppbp,1,False,False,False,2,2,2,2,285,289
Prdm2,1,False,False,False,2,2,2,2,83,64
Gpr33,1,False,False,False,2,2,2,2,434,426
Tst,2,False,False,False,2,2,2,2,285,289
Snph,1,False,False,False,1,2,1,2,285,289
Sidt1,1,False,False,False,2,2,2,2,285,289
Ppp1r1a,1,False,False,False,2,2,2,2,83,64
Sirt1,1,False,False,False,2,2,2,2,434,426
Fam120a,1,True,True,True,4,3,4,3,1264,1277
Pspc1,1,True,False,False,3,2,3,2,285,289
Nat1,1,True,True,True,3,4,3,4,1264,1277
Arhgap26,1,True,True,True,4,4,4,4,959,950
Actr3b,1,True,True,True,4,4,4,4,1264,1277
Tmem171,1,True,True,True,4,3,4,3,1264,1277
Sh3yl1,1,False,False,False,2,2,2,2,285,289
Btrc,1,False,False,False,2,2,2,2,434,426
Rimbp2,1,True,True,True,5,3,5,3,454,452
Rab34,1,True,True,True,3,4,3,4,1264,1277
Coq2,1,False,False,False,2,2,2,2,434,426
Letmd1,1,False,False,False,2,2,2,1,209,211
Lrrcc1,1,False,False,False,2,2,2,2,285,289
Agap1,1,True,False,False,8,1,8,1,454,452
Scin,1,False,False,False,2,2,2,2,285,289
Hmx2,1,False,False,False,2,2,2,2,285,289
0610010K14Rik,1,False,False,False,2,2,2,2,285,289
Trappc1,1,False,False,False,2,2,2,2,285,289
Sprr1a,1,True,True,True,4,4,4,4,1264,1277
Rbak,1,False,False,False,2,2,2,2,454,452
Rab24,1,True,True,True,4,4,4,4,1264,1277
Rell1,1,True,True,True,4,4,4,4,1264,1277
Tle3,1,False,False,False,2,2,2,2,285,289
Acot1,1,False,False,False,2,2,2,2,285,289
Minar1,1,False,False,False,2,2,2,2,293,295
Septin2,1,False,False,False,2,2,2,2,293,295
Eomes,1,False,False,False,2,2,2,2,434,426
B4gat1,1,False,False,False,1,2,1,2,285,289
Nnmt,1,False,False,False,2,2,2,2,285,289
Abi2,1,False,False,False,2,2,2,2,293,295
Abo,1,False,False,False,2,2,2,2,285,289
Grp,1,False,False,False,2,2,2,2,169,177
Cysltr2,1,False,False,False,2,2,2,2,285,289
Polq,1,False,False,False,2,2,2,2,285,289
Birc3,1,False,False,False,2,2,2,2,209,211
Sostdc1,1,False,False,False,2,2,2,2,285,289
Panx1,1,False,False,False,2,2,2,2,285,289
Tmem184b,1,False,False,False,2,2,2,2,285,289
Ermn,1,False,False,False,2,2,2,2,169,177
Klf17,1,True,True,True,4,4,4,4,454,452
Fam124b,1,True,True,True,4,4,4,4,1264,1277
Fbxl5,1,False,False,False,2,2,2,2,83,64
Paqr5,1,True,True,True,8,8,8,8,1701,1745
Zswim6,1,True,True,True,4,4,4,4,1264,1277
Abca14,1,False,False,False,2,2,2,2,293,295
Gramd2a,1,False,False,False,2,2,2,2,293,295
Syce2,1,False,False,False,2,2,2,2,293,295
Eif2b4,1,False,False,False,2,2,2,2,285,289
Fbxl20,2,False,False,False,2,2,2,2,169,177
1700020N01Rik,1,True,True,True,4,3,4,3,1264,1277
Smoc1,2,False,False,False,2,2,2,2,434,426
Ppp1cb,1,False,False,False,2,2,2,2,83,64
Prr9,1,False,False,False,2,2,2,2,285,289
Ptpmt1,1,False,False,False,2,2,2,2,293,295
Ap3s2,1,False,False,False,2,2,2,2,434,426
Fbxo15,1,False,False,False,2,2,2,2,83,64
Lox,1,False,False,False,2,2,2,2,285,289
Gpx5,1,False,False,False,2,2,2,2,285,289
Bnip1,1,False,False,False,2,2,2,2,83,64
Cpa1,1,False,False,False,2,2,2,2,83,64
Sema4d,1,False,False,False,2,2,2,2,434,426
Fancl,1,False,False,False,2,2,2,2,83,64
Atp11b,1,False,False,False,2,2,2,2,293,295
Dusp13b,1,False,False,False,2,2,2,2,285,289
Foxn1,1,False,False,False,1,2,1,2,285,289
Ptger2,1,False,False,False,2,2,2,2,285,289
Kat8,1,False,False,False,2,2,2,2,285,289
Hacl1,2,False,False,False,2,2,2,2,454,452
Pipox,1,False,False,False,2,2,2,2,293,295
Zfp354a,1,False,False,False,2,2,2,2,285,289
Rnase11,1,False,False,False,2,2,2,2,285,289
Cul5,1,False,False,False,2,2,2,2,285,289
Cavin3,1,False,False,False,2,2,2,2,285,289
Hnrnpdl,1,False,False,False,2,2,2,2,83,64
B4galt5,1,False,False,False,2,2,2,2,293,295
Selenbp1,1,False,False,False,2,2,2,2,285,289
Bloc1s5,2,False,False,False,2,2,2,2,293,295
Grik5,1,False,False,False,2,2,2,2,285,289
Ttc7b,1,True,True,True,4,3,4,3,1264,1277
Dync2i1,1,False,False,False,2,2,2,2,293,295
Pnkp,1,False,False,False,2,2,2,2,285,289
Sdha,1,True,True,True,4,4,4,4,1264,1277
Cenph,1,True,True,True,4,8,4,7,475,485
Unc13b,1,False,False,False,2,2,2,2,285,289
C1qb,1,True,True,True,4,4,4,4,1264,1277
Mybphl,2,True,False,False,4,1,4,1,454,452
Josd1,1,True,False,False,4,2,4,2,454,452
Plpp3,1,False,False,False,2,2,2,2,434,426
Tmem30a,1,True,False,False,4,1,4,1,454,452
Chek2,1,True,True,True,4,4,4,4,1264,1277
Kbtbd8,1,False,False,False,2,2,2,2,293,295
Zswim1,1,False,False,False,2,2,2,2,83,64
Cstdc3,1,False,False,False,2,2,2,2,293,295
Tram2,1,True,True,True,3,5,3,5,454,452
Thbd,1,False,False,False,2,2,2,2,285,289
Pxk,1,False,False,False,2,2,2,2,293,295
Cox20,1,False,False,False,2,2,2,2,293,295
Rabggta,1,False,False,False,2,2,2,2,83,64
Gkn2,1,False,False,False,2,2,2,2,285,289
Gpr137,1,True,True,True,4,3,4,3,1264,1277
Dsc3,1,False,False,False,2,1,2,1,169,177
Sgsh,1,False,False,False,2,2,2,2,293,295
Pmm2,1,False,False,False,2,2,2,2,293,295
Trav1,1,True,True,True,4,3,4,3,1264,1277
Tstd1,1,True,True,True,3,4,3,4,1264,1277
Qsox2,1,False,False,False,2,2,2,2,209,211
Tmco5,1,False,False,False,1,2,1,2,169,177
Clec5a,1,False,False,False,2,2,2,2,285,289
Fabp1,1,False,False,False,2,2,2,2,434,426
Syne3,1,False,False,False,2,2,2,2,285,289
Ifi208,1,False,False,False,2,2,2,2,285,289
Washc3,1,False,False,False,2,2,2,2,293,295
Mical2,1,False,False,False,2,2,2,2,293,295
Sowaha,1,False,False,False,2,2,2,2,285,289
Tprg1,1,False,False,False,2,2,2,2,285,289
Ankrd65,1,False,False,False,2,2,2,2,83,64
Dnajc21,1,False,False,False,2,2,2,2,293,295
Cdh26,1,False,False,False,2,2,2,2,285,289
Cd79a,1,False,False,False,1,2,1,2,36,34
Npas3,1,False,True,False,2,3,2,3,209,211
Trh,1,False,False,False,2,2,2,2,293,295
Ido2,1,True,False,False,3,1,3,1,454,452
Gnl1,1,False,False,False,2,2,2,2,293,295
Itga3,1,False,False,False,2,2,2,2,285,289
Cldn3,1,False,False,False,2,2,2,2,169,177
Itpr1,1,False,False,False,2,2,2,2,293,295
Nav2,1,False,False,False,2,2,2,2,293,295
Rapsn,1,False,False,False,2,2,2,2,434,426
Oprl1,1,False,False,False,2,2,2,2,285,289
Trmt9b,1,False,False,False,2,2,2,2,169,177
Nosip,1,False,False,False,2,2,2,2,293,295
Phc3,1,False,False,False,2,2,2,2,285,289
Inhbb,1,False,False,False,2,2,2,2,169,177
Cacna2d2,1,False,False,False,2,2,2,2,285,289
Pappa,1,False,False,False,2,2,2,2,36,34
Usp29,1,False,False,False,2,2,2,2,293,295
Prodh,1,False,False,False,2,2,2,2,285,289
Mmgt2,1,False,False,False,2,2,2,2,169,177
Tor1aip1,1,False,False,False,2,2,2,2,169,177
Tlr2,1,False,False,False,2,2,2,2,285,289
Kcna5,1,False,False,False,2,2,2,2,285,289
Fuz,1,False,False,False,2,2,2,2,285,289
Crtac1,1,False,False,False,2,2,2,1,169,177
Pde7b,1,False,False,False,2,2,2,2,285,289
Fzd4,1,False,False,False,2,2,2,2,285,289
Ccdc85a,1,True,True,True,4,4,4,4,1264,1277
Idh2,1,False,False,False,2,2,2,2,434,426
Nodal,1,False,False,False,2,2,2,2,169,177
Defb43,1,False,False,False,2,2,2,2,83,64
Chd8,1,False,False,False,2,2,2,2,285,289
G2e3,1,False,False,False,2,2,2,2,293,295
Rmnd5b,1,True,True,True,4,4,4,4,1264,1277
Pramel17,1,False,False,False,1,2,1,2,285,289
Iglon5,1,False,False,False,2,2,2,2,285,289
Gbgt1,1,False,False,False,2,2,2,2,285,289
Nkg7,1,False,False,False,2,2,2,2,285,289
Htr4,1,False,False,False,2,2,2,2,83,64
Cmklr2,1,False,False,False,2,2,2,2,434,426
Atf3,1,False,False,False,2,2,2,2,434,426
Gdf2,1,False,False,False,2,2,2,2,285,289
Fbxo5,1,False,False,False,2,2,2,2,285,289
Brix1,1,False,False,False,2,2,2,2,83,64
Pde6b,1,False,False,False,2,2,2,2,285,289
Adh4,1,False,False,False,2,2,2,2,83,64
