specimen_id,age_in_days,age_in_weeks,allelic_composition,biological_sample_group,colony_id,datasource_name,date_of_birth,date_of_experiment,developmental_stage_acc,developmental_stage_name,experiment_id,experiment_source_id,external_sample_id,genetic_background,life_stage_acc,life_stage_name,litter_id,observation_type,parameter_stable_id,phenotyping_center,pipeline_name,pipeline_stable_id,procedure_group,procedure_name,procedure_stable_id,production_center,project_name,sex,specimen_id.1,strain_accession_id,strain_name,weight,weight_date,weight_days_old,weight_parameter_stable_id,zygosity,id,_version_,metadata_Anesthetic administration route,metadata_Anesthetic agent 1,metadata_Anesthetic agent 1 dosage,metadata_Anesthetic agent 2,metadata_Anesthetic agent 2 dosage,metadata_Equipment ID,metadata_Equipment manufacturer,metadata_Equipment model,metadata_Experimenter ID,metadata_Number averages,metadata_Recording Environment,metadata_Repetition Rate,metadata_Software,metadata_Time of injection,metadata_Tone Pip Duration,metadata_Tone Pip rise/fall,30kHz-evoked ABR Threshold,Body weight,6kHz-evoked ABR Threshold,24kHz-evoked ABR Threshold,12kHz-evoked ABR Threshold,18kHz-evoked ABR Threshold,allele_accession_id,allele_symbol,gene_accession_id,gene_symbol,metadata_Date equipment last calibrated,metadata_Extension of stimulus levels,metadata_Range of stimulus levels used - 12kHz,metadata_Range of stimulus levels used - 18kHz,metadata_Range of stimulus levels used - 24kHz,metadata_Range of stimulus levels used - 30kHz,metadata_Range of stimulus levels used - 6kHz,metadata_Range of stimulus levels used - Click,metadata_Range of test stimuli used,metadata_Stimulus level step size,Click-evoked ABR threshold,metadata_ProductionCenter,procedure_sequence_id,metadata_Date of Test,category
7be5c4c24df44ad20f4c7725cb376465,117,16,Rab28<em1(IMPC)J>/Rab28<em1(IMPC)J>,experimental,JR32591,IMPC,2018-12-28T00:00:00Z,2019-04-24T00:00:00Z,EFO:0002948,postnatal,008a370189a8d47d1330b1ad51a23873,ABR - Auditory Brain Stem Response - R21672 - 2193369,R21672,involves: C57BL/6NJ,IMPCLS:0005,Early adult,370580,unidimensional,IMPC_ABR_012_001,JAX,JAX Pipeline,JAX_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,JAX,JAX,female,7be5c4c24df44ad20f4c7725cb376465,MGI:3056279,C57BL/6NJ,25.26,2019-04-24T00:00:00Z,117.0,IMPC_BWT_001_001,homozygote,206fa9ec-f17f-47d1-a5ee-9a7f6db07342,1816870710262366212,Intraperitoneal,Ketamine,0.8,Xylazine,0.01,IHS5157,Intelligent Hearing Systems,Smart EP,205,256,Sound proof booth,42.6,SmartEP,09:35:00,5,1.0,70.0,,50.0,65.0,45.0,35.0,MGI:6195850,Rab28<em1(IMPC)J>,MGI:1917285,Rab28,2018-10-01,,,,,,,,"6,12,18,24,30 kHz",5.0,,,,,
dd0cf40cd86d650763171910c8d2dbdf,109,15,Myom2<em1(IMPC)J>/Myom2<em1(IMPC)J>,experimental,JR31683,IMPC,2018-08-31T00:00:00Z,2018-12-18T00:00:00Z,EFO:0002948,postnatal,2d3de30875716dc9b37e24dd39adf24d,ABR - Auditory Brain Stem Response - R1203 - 2055969,R1203,involves: C57BL/6NJ,IMPCLS:0005,Early adult,345251,unidimensional,IMPC_ABR_004_001,JAX,JAX Pipeline,JAX_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,JAX,JAX,female,dd0cf40cd86d650763171910c8d2dbdf,MGI:3056279,C57BL/6NJ,21.37,2018-12-17T00:00:00Z,108.0,IMPC_BWT_001_001,homozygote,ae39e189-a7d6-4460-aefd-65313f927d95,1816870689083228172,Intraperitoneal,Ketamine,0.8,Xylazine,0.01,IHS5157,Intelligent Hearing Systems,Smart EP,235,256,Sound proof booth,42.6,SmartEP,10:35:00,5,1.0,65.0,,45.0,35.0,40.0,40.0,MGI:6114782,Myom2<em1(IMPC)J>,MGI:1328358,Myom2,2013-03-15,,,,,,,,"6,12,18,24,30 kHz",5.0,,,,,
3810dd6460c5a4cda8273bf31c2630f8,114,16,Myom2<em1(IMPC)J>/Myom2<em1(IMPC)J>,experimental,JR31683,IMPC,2018-08-05T00:00:00Z,2018-11-27T00:00:00Z,EFO:0002948,postnatal,602f5a61d13638ad4d06b7feff0a8ede,ABR - Auditory Brain Stem Response - X100742 - 2040361,X100742,involves: C57BL/6NJ,IMPCLS:0005,Early adult,345231,image_record,IMPC_ABR_014_001,JAX,JAX Pipeline,JAX_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,JAX,JAX,male,3810dd6460c5a4cda8273bf31c2630f8,MGI:3056279,C57BL/6NJ,30.2,2018-11-30T00:00:00Z,117.0,IMPC_BWT_001_001,homozygote,65382790-b8f8-401b-ac6e-29520de107de,1816870700400508937,Intraperitoneal,Ketamine,0.8,Xylazine,0.01,IHS5156,Intelligent Hearing Systems,Smart EP,235,256,Sound proof booth,42.6,SmartEP,09:10:00,5,1.0,50.0,,35.0,25.0,10.0,25.0,MGI:6114782,Myom2<em1(IMPC)J>,MGI:1328358,Myom2,2013-03-15,,,,,,,,"6,12,18,24,30 kHz",5.0,,,,,
1eed28e6a76861023c37c2ee1418ea1b,117,16,Rab28<em1(IMPC)J>/Rab28<em1(IMPC)J>,experimental,JR32591,IMPC,2018-12-28T00:00:00Z,2019-04-24T00:00:00Z,EFO:0002948,postnatal,1b38f5f46e663fa94c80565f4381d894,ABR - Auditory Brain Stem Response - R21675 - 2193195,R21675,involves: C57BL/6NJ,IMPCLS:0005,Early adult,370580,unidimensional,IMPC_ABR_004_001,JAX,JAX Pipeline,JAX_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,JAX,JAX,male,1eed28e6a76861023c37c2ee1418ea1b,MGI:3056279,C57BL/6NJ,28.65,2019-04-24T00:00:00Z,117.0,IMPC_BWT_001_001,homozygote,e558cd26-ad08-4101-9264-eb4004763327,1816870704173285380,Intraperitoneal,Ketamine,0.8,Xylazine,0.01,IHS5156,Intelligent Hearing Systems,Smart EP,205,256,Sound proof booth,42.6,SmartEP,10:05:00,5,1.0,60.0,,55.0,55.0,55.0,50.0,MGI:6195850,Rab28<em1(IMPC)J>,MGI:1917285,Rab28,2018-10-01,,,,,,,,"6,12,18,24,30 kHz",5.0,,,,,
f78cdaf78c7c9f4545efff3ab1ffde88,113,16,Zfp74<em1(IMPC)J>/Zfp74<em1(IMPC)J>,experimental,JR34336,IMPC,2020-08-13T00:00:00Z,2020-12-04T00:00:00Z,EFO:0002948,postnatal,bf06248a1ca04429217b59743f70123d,ABR - Auditory Brain Stem Response - D35517 - 2985255,D35517,involves: C57BL/6NJ,IMPCLS:0005,Early adult,479920,unidimensional,IMPC_ABR_008_001,JAX,JAX Pipeline,JAX_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,JAX,JAX,male,f78cdaf78c7c9f4545efff3ab1ffde88,MGI:3056279,C57BL/6NJ,25.08,2020-11-30T00:00:00Z,109.0,IMPC_BWT_001_001,homozygote,067e6043-fbdb-4a24-bcdb-cfdbd9e6634d,1816871221200945158,Intraperitoneal,Ketamine,0.8,Xylazine,0.01,ISH5157,Intelligent Hearing Systems,Smart EP,205,256,Sound proof booth,42.6,SmartEP,09:30:00,5,1.0,60.0,,50.0,45.0,35.0,25.0,MGI:6361131,Zfp74<em1(IMPC)J>,MGI:107784,Zfp74,2018-10-01,,,,,,,,"6,12,18,24,30 kHz",5.0,,,,,
05d0042b23aeb890903ec41771e037e0,114,16,Ptpru<tm1.1(KOMP)Vlcg>/Ptpru<tm1.1(KOMP)Vlcg>,experimental,JR26291,IMPC,2015-08-25T00:00:00Z,2015-12-17T00:00:00Z,EFO:0002948,postnatal,7c35f29084b6e296065251dae1dab33e,ABR - Auditory Brain Stem Response - K99521 - 603628,K99521,involves: C57BL/6NJ,IMPCLS:0005,Early adult,152071,unidimensional,IMPC_ABR_006_001,JAX,JAX Pipeline,JAX_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,JAX,JAX,male,05d0042b23aeb890903ec41771e037e0,MGI:3056279,C57BL/6NJ,28.53,2015-12-18T00:00:00Z,115.0,IMPC_BWT_001_001,homozygote,1b6320fd-7264-4ce2-8df4-ca00579964de,1816871221322579977,Intraperitoneal,Ketamine,0.8,Xylazine,0.01,IHS5157,Intelligent Hearing Systems,Smart EP,205,512,Sound proof booth,42.6,SmartEP,13:50:00,5,1.0,65.0,,50.0,40.0,50.0,35.0,MGI:5608701,Ptpru<tm1.1(KOMP)Vlcg>,MGI:1321151,Ptpru,2015-06-22,,,,,,,,"6,12,18,24,30 kHz",5.0,,,,,
57c88a617a6006a2359bcbc72d462e97,106,15,Bmp6<em1(IMPC)Ccpcz>/Bmp6<em1(IMPC)Ccpcz>,experimental,CCP-Bmp-EXDEL-EM1-B6N,IMPC,2020-05-20T00:00:00Z,2020-09-03T00:00:00Z,EFO:0002948,postnatal,cae5ee60463f2be9b41d431ee83bb595,IMPC_ABR_002_ABR 0018_2020-09-03,E64-F5184,involves: C57BL/6NCrl,IMPCLS:0005,Early adult,311890,unidimensional,IMPC_ABR_010_001,CCP-IMG,CCP Pipeline,CCP_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,CCP-IMG,CCP-IMG,female,57c88a617a6006a2359bcbc72d462e97,MGI:2683688,C57BL/6NCrl,20.65,2020-09-03T00:00:00Z,106.0,IMPC_BWT_001_001,homozygote,b1d10d66-3a03-4058-9603-2b0940b13f58,1816871221659172877,Intramuscular,Tiletamine,0.03,Zolazepam,0.03,Setup01,"TDT (Tucker Davis Technologies), RAAL Advanced Loudspeakers, DENON","RZ6 Processor, RA4LI headstage, RA4PA pre-amp, RAAL 140-15d ribbon speaker, DENON PMA-520AE power amplifier",ABR_MJR_001,450,In anechoic chamber (6 m^3) on heating pad (37 degrees C),42.6,"BioSigRZ, custom ABR Visualisation Tool",13:23:00,5,1.0,85.0,,30.0,45.0,25.0,30.0,MGI:6358085,Bmp6<em1(IMPC)Ccpcz>,MGI:88182,Bmp6,,,,,,,,,"Click,6,12,18,24,30 kHz",5.0,30.0,,20200903.0,,
f5d404ccc0380d064fe09c0a51cd04f5,110,15,Sesn1<tm1b(EUCOMM)Wtsi>/Sesn1<tm1b(EUCOMM)Wtsi>,experimental,JR27566,IMPC,2016-10-27T00:00:00Z,2017-02-14T00:00:00Z,EFO:0002948,postnatal,199f93e89ca08195b878d6c9f9a5c6fb,ABR - Auditory Brain Stem Response - J83086 - 1152204,J83086,involves: C57BL/6NJ,IMPCLS:0005,Early adult,228210,unidimensional,IMPC_ABR_004_001,JAX,JAX Pipeline,JAX_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,JAX,JAX,male,f5d404ccc0380d064fe09c0a51cd04f5,MGI:3056279,C57BL/6NJ,29.2,2017-02-17T00:00:00Z,113.0,IMPC_BWT_001_001,homozygote,1730fca2-e48d-41ab-913d-22baf0381920,1816871232236158982,Intraperitoneal,Ketamine,0.8,Xylazine,0.01,IHS5157,Intelligent Hearing Systems,Smart EP,205,256,Sound proof booth,42.6,SmartEP,01:55:00,5,1.0,70.0,,55.0,55.0,50.0,35.0,MGI:5635289,Sesn1<tm1b(EUCOMM)Wtsi>,MGI:2155278,Sesn1,2015-06-22,,,,,,,,"6,12,18,24,30 kHz",5.0,,,,,
2ef7bfc013d7e51c3bc344909e03f31e,113,16,Ptpru<tm1.1(KOMP)Vlcg>/Ptpru<tm1.1(KOMP)Vlcg>,experimental,JR26291,IMPC,2015-09-16T00:00:00Z,2016-01-07T00:00:00Z,EFO:0002948,postnatal,4321a0091389abe35db4b1d8a7a05073,ABR - Auditory Brain Stem Response - J3367 - 632416,J3367,involves: C57BL/6NJ,IMPCLS:0005,Early adult,152072,image_record,IMPC_ABR_014_001,JAX,JAX Pipeline,JAX_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,JAX,JAX,male,2ef7bfc013d7e51c3bc344909e03f31e,MGI:3056279,C57BL/6NJ,29.51,2016-01-08T00:00:00Z,114.0,IMPC_BWT_001_001,homozygote,30f14af8-fe87-4d8d-adf1-f2cdaed1c69d,1816871234105769984,Intraperitoneal,Ketamine,0.8,Xylazine,0.01,IHS5157,Intelligent Hearing Systems,Smart EP,205,512,Sound proof booth,42.6,SmartEP,07:50:00,5,1.0,70.0,,55.0,50.0,45.0,45.0,MGI:5608701,Ptpru<tm1.1(KOMP)Vlcg>,MGI:1321151,Ptpru,2013-03-15,,,,,,,,"6,12,18,24,30 kHz",5.0,,,,,
c353d592b44c63ab1b89948df1ee6941,116,16,Dnajc30<tm1.1(KOMP)Vlcg>/Dnajc30<tm1.1(KOMP)Vlcg>,experimental,JR28638,IMPC,2016-07-30T00:00:00Z,2016-11-23T00:00:00Z,EFO:0002948,postnatal,f6646086c88c0bc7fe3df75fa1c60023,ABR - Auditory Brain Stem Response - J66294 - 1042829,J66294,involves: C57BL/6NJ,IMPCLS:0005,Early adult,222460,unidimensional,IMPC_ABR_006_001,JAX,JAX Pipeline,JAX_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,JAX,JAX,male,c353d592b44c63ab1b89948df1ee6941,MGI:3056279,C57BL/6NJ,27.44,2016-11-25T00:00:00Z,118.0,IMPC_BWT_001_001,homozygote,2cf7eeee-2441-4241-97b6-4b1c611eb3ed,1816871264016400390,Intraperitoneal,Ketamine,0.8,Xylazine,0.01,IHS5156,Intelligent Hearing Systems,Smart EP,205,512,Sound proof booth,42.6,SmartEP,09:55:00,5,1.0,45.0,,50.0,35.0,50.0,30.0,MGI:5749449,Dnajc30<tm1.1(KOMP)Vlcg>,MGI:1913364,Dnajc30,2013-03-15,,,,,,,,"6,12,18,24,30 kHz",5.0,,,,,
